Multiplier,Lowest energy,Chain break fraction,Duplicates
1.0,-1110.3178904245242,0.0013297872340425532,20
1.5,-1045.6353110949237,0.0013297872340425532,9
2.0,-978.5152269921965,0.0,8
2.5,-911.4108242846556,0.0,5
3.0,-858.3978365201956,0.0,5
3.5,-793.8571054913182,0.0,1
4.0,-780.4557405934609,0.0,1
4.5,-729.9136063125708,0.0,2
5.0,-738.6646252248426,0.0,0
5.5,-664.2191261486049,0.0,2
6.0,-646.0254311263869,0.0,0
1.0,-1113.3489164646644,0.0,19
1.5,-1054.4218409881207,0.0,9
2.0,-978.6259166858121,0.0013297872340425532,5
2.5,-920.2676437472863,0.0,5
3.0,-857.7082744968523,0.0,2
3.5,-821.5569142681346,0.0,1
4.0,-768.7281723703584,0.0,2
4.5,-745.7033477804451,0.0013297872340425532,0
5.0,-685.3289223164497,0.0,0
5.5,-703.1020041890337,0.0,0
6.0,-626.737611648962,0.0,1
1.0,-1119.4853378192365,0.0,20
1.5,-1053.858759552135,0.0,10
2.0,-969.5008351060914,0.0,7
2.5,-913.0270603093749,0.0,8
3.0,-864.2519548515846,0.0,2
3.5,-804.9292843703657,0.0,2
4.0,-767.0625254026608,0.0,2
4.5,-713.882065304023,0.0,0
5.0,-688.4470105011541,0.0,1
5.5,-681.2436468628916,0.0,1
6.0,-636.294551114779,0.0,0
