Multiplier,Lowest energy,Chain break fraction,Overlaps
1,-678.6353216871245,0.0,31
2,-551.645395794606,0.0017699115044247787,13
3,-439.29246172085686,0.0,5
4,-381.77916835350914,0.0035398230088495575,3
5,-360.53305490596915,0.0,2
6,-269.3734118342112,0.0,2
7,-221.30746222555837,0.0017699115044247787,2
8,-179.72468695040726,0.0,1
9,-140.12633044081514,0.0,0
10,-99.73900936928096,0.0,0
8,-174.1938523549756,0.0,1
9,-128.3046768388288,0.0,1
10,-113.69726874572893,0.0,0
11,-68.88002871691491,0.0,1
12,-35.79151490582327,0.0,0
5,-329.4471127142823,0.0017699115044247787,2
6,-303.6779759836734,0.0,2
7,-230.71528508358531,0.0,1
8,-222.0466781475036,0.0,1
9,-138.75718798126508,0.0017699115044247787,1
10,-100.2195168672593,0.0,0
11,-99.6032417261526,0.0035398230088495575,0
12,-67.4299736949428,0.0017699115044247787,0
13,-23.482423916353277,0.0,0
14,5.712777352657468,0.0,0
5,-291.7411839248215,0.0,1
6,-290.88879414658254,0.0,0
7,-196.76844232508154,0.0017699115044247787,1
8,-160.42563567473562,0.0017699115044247787,2
9,-138.69135242304563,0.0,1
10,-96.9614909665367,0.0017699115044247787,1
11,-82.5162609998644,0.0,1
12,-23.137532378421948,0.0017699115044247787,0
13,-37.20897736709888,0.0017699115044247787,0
14,-7.166381762749886,0.0,0
15,17.576561086775076,0.0,0
16,21.692352140905868,0.0,0
17,35.89722055484217,0.0017699115044247787,0
18,47.95067656145297,0.0017699115044247787,0
19,60.30105124858225,0.0035398230088495575,0
